"","country","Regions_Report","knowledge_level","trust_level"
"1","Afghanistan",12,48.4848484848485,80.0699300699301
"2","Albania",16,38.7539598732841,70.8553326293559
"3","Algeria",3,58.5858585858586,74.5230078563412
"4","Argentina",8,45.0939457202505,85.490605427975
"5","Armenia",9,75.6229685807151,84.9404117009751
"6","Australia",18,65.6852791878173,95.736040609137
"7","Austria",17,58.130081300813,92.0731707317073
"8","Azerbaijan",9,69.2636072572038,93.5965848452508
"9","Bangladesh",12,53.1356898517674,90.6499429874572
"10","Belarus",14,73.8261738261738,90.5094905094905
"11","Belgium",17,70.8629441624365,96.751269035533
"12","Benin",5,64.6562123039807,57.4185765983112
"13","Bolivia",8,51.024811218986,70.2265372168285
"14","Bosnia and Herzegovina",16,55.9741657696448,67.2766415500538
"15","Botswana",4,44.9553001277139,57.5989782886335
"16","Brazil",8,29.2025862068966,67.7801724137931
"17","Bulgaria",14,48.4988452655889,83.4872979214781
"18","Burkina Faso",5,56.3791008505468,71.6889428918591
"19","Burundi",1,43.0681818181818,48.6363636363636
"20","Cambodia",11,40.2234636871508,89.3854748603352
"21","Cameroon",2,62.8664495114006,71.5526601520087
"22","Canada",7,75.8403361344538,95.7983193277311
"23","Chad",2,63.0232558139535,62.3255813953488
"24","Chile",8,43.576017130621,76.5524625267666
"25","China",10,25.8344459279039,91.4218958611482
"26","Colombia",8,40.7325194228635,73.4739178690344
"27","Comoros",1,43.1111111111111,79.5555555555556
"28","Costa Rica",6,43.7369519832985,81.6283924843424
"29","Croatia",16,62.9273504273504,82.7991452991453
"30","Cyprus",16,64.9774774774775,91.4414414414414
"31","Czech Republic",14,49.5633187772926,83.296943231441
"32","Denmark",15,76.8,96.2
"33","Dominican Republic",6,52.457264957265,82.4786324786325
"34","Ecuador",8,43.649946638207,70.4375667022412
"35","Egypt",3,54.5454545454545,86.4335664335664
"36","El Salvador",6,36.7088607594937,72.7848101265823
"37","Estonia",15,67.8774120317821,94.7786606129398
"38","Eswatini",4,34.6820809248555,79.4219653179191
"39","Ethiopia",1,55.2404438964242,88.9025893958076
"40","Finland",15,67.4698795180723,96.3855421686747
"41","France",17,75.1004016064257,94.7791164658635
"42","Gabon",2,55.9701492537313,64.818763326226
"43","Georgia",9,61.2290502793296,82.3463687150838
"44","Germany",17,72.5708502024291,94.8380566801619
"45","Ghana",5,57.2836801752464,83.2420591456736
"46","Greece",16,41.2327311370882,87.4601487778959
"47","Guatemala",6,36.7003367003367,68.6868686868687
"48","Guinea",5,54.6856465005931,80.3084223013049
"49","Haiti",6,53.030303030303,75.974025974026
"50","Honduras",6,36.5342163355408,72.2958057395143
"51","Hungary",14,65.6810982048574,93.4530095036959
"52","Iceland",15,62.993762993763,97.9209979209979
"53","India",12,51.8076779724189,81.66231830041
"54","Indonesia",11,41.0798122065728,80.868544600939
